TeamName,HomePlayed,HomeWin,HomeDraw,HomeLoss,HomeGoalsFor,HomeGoalsAgainst,HomeGoalDiff,HomePoints,AwayPlayed,AwayWin,AwayDraw,AwayLoss,AwayGoalsFor,AwayGoalsAgainst,AwayGoalDiff,AwayPoints
Tottenham,19,17,2,0,47,9,+38,53,19,9,6,4,39,17,+22,33
Chelsea,19,17,0,2,55,17,+38,51,19,13,3,3,30,16,+14,42
Arsenal,19,14,3,2,39,16,+23,45,19,9,3,7,38,28,+10,30
Everton,19,13,4,2,42,16,+26,43,19,4,6,9,20,28,-8,18
Liverpool,19,12,5,2,45,18,+27,41,19,10,5,4,33,24,+9,35
Manchester City,19,11,7,1,37,17,+20,40,19,12,2,5,43,22,+21,38
Manchester Utd,19,8,10,1,26,12,+14,34,19,10,5,4,28,17,+11,35
Leicester City,19,10,4,5,31,25,+6,34,19,2,4,13,17,38,-21,10
Burnley,19,10,3,6,26,20,+6,33,19,1,4,14,13,35,-22,7
Bournemouth,19,9,4,6,35,29,+6,31,19,3,6,10,20,38,-18,15
West Brom,19,9,2,8,27,22,+5,29,19,3,7,9,16,29,-13,16
Watford,19,8,4,7,25,29,-4,28,19,3,3,13,15,39,-24,12
Hull City,19,8,4,7,28,35,-7,28,19,1,3,15,9,45,-36,6
Stoke City,19,7,6,6,24,24,0,27,19,4,5,10,17,32,-15,17
Swansea City,19,8,3,8,27,34,-7,27,19,4,2,13,18,36,-18,14
West Ham Utd,19,7,4,8,19,31,-12,25,19,5,5,9,28,33,-5,20
Southampton,19,6,6,7,17,21,-4,24,19,6,4,9,24,27,-3,22
Crystal Palace,19,6,2,11,24,25,-1,20,19,6,3,10,26,38,-12,21
Middlesbrough,19,4,6,9,17,23,-6,18,19,1,7,11,10,30,-20,10
Sunderland,19,3,5,11,16,34,-18,14,19,3,1,15,13,35,-22,10
